step_time,reward_gneJ00,gneJ00_offset,reward_gneJ9,gneJ9_offset
688500.0,-1485,95,-1360,80
689520.0,-1608,63,-1467,3
690540.0,-1564,31,-1140,28
691560.0,-1298,101,-1526,53
692580.0,-1588,69,-1223,78
693600.0,-1421,37,-1021,26
694620.0,-1256,5,-1487,51
695640.0,-1706,75,-1217,76
696660.0,-1176,43,-1491,101
697680.0,-1063,11,-1302,24
698700.0,-1570,81,-1391,49
699720.0,-1266,49,-1353,74
700740.0,-1711,17,-1359,99
701760.0,-1397,87,-1417,22
702780.0,-1843,55,-1142,47
703800.0,-987,23,-1581,72
704820.0,-1518,93,-1279,97
705840.0,-1785,61,-1424,20
706860.0,-1431,29,-1273,45
707880.0,-1639,99,-1313,86
708900.0,-1982,67,-1296,38
709920.0,-1152,35,-1435,63
710940.0,-1480,3,-1213,88
711960.0,-1428,73,-1450,11
712980.0,-1392,41,-1138,36
714000.0,-1986,65,-991,61
715020.0,-1050,33,-1640,86
716040.0,-1262,1,-1201,9
717060.0,-1622,71,-1433,34
718080.0,-1159,39,-1304,59
719100.0,-1358,7,-1219,94
720120.0,-1476,77,-1453,17
721140.0,-1487,45,-1136,42
722160.0,-1209,13,-1597,67
723180.0,-1502,83,-1227,92
724200.0,-1409,51,-1277,15
725220.0,-1468,19,-1412,40
726240.0,-1665,89,-1230,65
727260.0,-1385,57,-1416,90
728280.0,-1319,25,-1161,13
729300.0,-1395,95,-1430,38
730320.0,-1867,63,-1404,35
731340.0,-1198,31,-1483,60
732360.0,-1494,101,-1272,85
733380.0,-1311,69,-1469,8
734400.0,-1505,37,-1192,33
735420.0,-1342,5,-1498,58
736440.0,-1561,75,-1229,83
737460.0,-1354,43,-1318,6
738480.0,-1117,11,-1377,31
739500.0,-1606,81,-1338,56
740520.0,-1063,49,-1535,81
741540.0,-1612,17,-1239,4
742560.0,-1415,87,-1517,29
743580.0,-1925,55,-1097,54
744600.0,-1093,23,-1465,79
745620.0,-1146,93,-1511,30
746640.0,-1650,61,-1472,83
747660.0,-1326,29,-1047,34
748680.0,-1576,99,-1314,87
749700.0,-1841,67,-1212,38
750720.0,-1151,35,-1488,91
751740.0,-1013,3,-1466,42
752760.0,-1461,73,-1338,95
753780.0,-1544,41,-1163,46
754800.0,-1520,9,-1193,99
755820.0,-1745,79,-1501,50
756840.0,-1145,47,-1639,1
757860.0,-1030,15,-1764,54
758880.0,-1367,85,-1208,1
759900.0,-1751,53,-1232,54
760920.0,-1561,21,-1175,5
761940.0,-1554,91,-1476,58
762960.0,-1386,59,-1641,9
763980.0,-1046,27,-1695,62
765000.0,-1255,97,-1335,13
766020.0,-970,13,-1674,66
767040.0,-1251,31,-1156,17
768060.0,-1184,49,-1316,70
769080.0,-1539,67,-1549,21
770100.0,-1857,85,-1256,74
771120.0,-1168,1,-1350,25
772140.0,-1027,19,-1601,78
773160.0,-1253,37,-1167,29
774180.0,-1258,55,-1443,82
775200.0,-1510,73,-1452,33
776220.0,-1757,91,-1230,86
777240.0,-970,7,-1336,37
778260.0,-1009,25,-1535,90
779280.0,-1264,43,-1015,41
780300.0,-1441,61,-1493,94
781320.0,-1764,79,-1493,45
782340.0,-1681,97,-1257,98
783360.0,-918,13,-1400,49
784380.0,-1084,31,-1368,0
785400.0,-1403,49,-1211,53
786420.0,-1426,67,-1620,4
787440.0,-1779,85,-1607,57
788460.0,-1355,1,-1122,8
789480.0,-920,19,-1517,61
790500.0,-1219,37,-1176,12
791520.0,-1444,55,-1083,65
792540.0,-1550,73,-1615,16
793560.0,-1655,91,-1239,69
794580.0,-1147,7,-1122,20
795600.0,-798,25,-1683,73
796620.0,-1243,43,-1330,24
797640.0,-1506,61,-1198,77
798660.0,-1545,79,-1482,28
799680.0,-1552,97,-1341,81
800700.0,-1051,13,-1222,32
801720.0,-814,31,-1684,85
802740.0,-1448,77,-1348,41
803760.0,-1242,21,-1195,94
804780.0,-1863,67,-1322,45
805800.0,-1395,11,-1181,98
806820.0,-1624,57,-1162,49
807840.0,-1652,1,-1105,0
808860.0,-1439,47,-1176,53
809880.0,-1741,93,-1212,4
810900.0,-1084,37,-1430,57
811920.0,-1490,83,-1453,8
812940.0,-1037,27,-1580,61
813960.0,-1436,73,-1628,12
814980.0,-984,17,-1640,65
816000.0,-1372,63,-1610,16
817020.0,-1247,7,-1549,69
818040.0,-1280,53,-1412,20
819060.0,-1686,99,-1238,73
820080.0,-1365,43,-1184,24
821100.0,-1789,89,-1240,77
822120.0,-1238,33,-1176,28
823140.0,-1701,79,-1135,81
824160.0,-1058,23,-1127,32
825180.0,-1540,69,-1323,85
826200.0,-1073,13,-1292,36
827220.0,-1243,59,-1568,89
828240.0,-1335,3,-1374,40
829260.0,-1061,49,-1717,93
830280.0,-1492,95,-1639,44
